metric,label,dir,method,n,mean,std,median,q1,q3,floor_p95
qrs_dur_err_ms,QRS duration error [ms],↓,M05,22,50.719786063234636,24.923612061990536,47.57919225799613,32.27578727086206,60.417952565432635,28.072097560975607
qrs_dur_err_ms,QRS duration error [ms],↓,M05f,22,34.95047436742854,18.546664808295763,33.199509631153454,24.848677248677248,41.244996058904874,28.072097560975607
qrs_dur_err_ms,QRS duration error [ms],↓,M06,22,25.022956476224934,13.449291616182306,30.193081984812927,12.25420168919392,35.10368148224901,28.072097560975607
qrs_dur_err_ms,QRS duration error [ms],↓,M07,22,31.150840257231017,16.643222531091688,35.65497870786463,17.637859302987735,45.577260513935244,28.072097560975607
qrs_dur_err_ms,QRS duration error [ms],↓,M08,22,24.187920410286726,13.621747716821762,29.003173100769914,11.72054332884067,33.93433824658114,28.072097560975607
qrs_dur_err_ms,QRS duration error [ms],↓,M_FE,22,22.870235663114972,16.813310878734274,20.744521393090224,9.315120017305167,37.12486702633073,28.072097560975607
snr_imp_strict,SNR imp. (no gain corr.) [dB],↑,B01,22,17.76437017978549,5.152643457769075,16.737155011741216,14.080308102673444,21.159655391093708,
snr_imp_strict,SNR imp. (no gain corr.) [dB],↑,B02,22,17.855193563036938,6.7036796556673774,15.718910099426143,12.513934934904613,23.011717439744054,
snr_imp_strict,SNR imp. (no gain corr.) [dB],↑,M00,22,3.2591774397139937e-18,2.0935619813637679e-16,0.0,-3.2959746043559335e-17,5.551115123125783e-17,
snr_imp_strict,SNR imp. (no gain corr.) [dB],↑,M01,22,12.519210645925693,3.8939015839629523,11.445521233048922,9.838161160075995,15.388211756083773,
snr_imp_strict,SNR imp. (no gain corr.) [dB],↑,M02,22,10.444605117988427,3.3820530035738456,10.470883198812569,8.488597085372103,12.501107709398738,
snr_imp_strict,SNR imp. (no gain corr.) [dB],↑,M03,22,9.988141891631876,2.8359604890549095,9.718401461240308,8.653247188892557,11.944128051745109,
snr_imp_strict,SNR imp. (no gain corr.) [dB],↑,M04,22,12.240593375015044,6.0770669979437955,11.070902117309892,7.4132280055748865,17.38268711332487,
snr_imp_strict,SNR imp. (no gain corr.) [dB],↑,M04np,22,12.240593375015044,6.0770669979437955,11.070902117309892,7.4132280055748865,17.38268711332487,
snr_imp_strict,SNR imp. (no gain corr.) [dB],↑,M05,22,10.713908338274617,3.3133554829508904,10.639945470322315,7.875782000865735,12.633306305094681,
snr_imp_strict,SNR imp. (no gain corr.) [dB],↑,M05f,22,9.147677909851694,2.963842360327173,9.102180853510378,6.396846718961735,10.602688567619126,
snr_imp_strict,SNR imp. (no gain corr.) [dB],↑,M06,22,14.280411003433757,3.006159362339389,14.184170902513323,12.705276663650146,16.097659208806167,
snr_imp_strict,SNR imp. (no gain corr.) [dB],↑,M07,22,13.024721362999797,2.7238941290242877,12.942594003886988,11.747554524833102,14.917736152114992,
snr_imp_strict,SNR imp. (no gain corr.) [dB],↑,M08,22,14.499557576764689,3.0526096104845752,14.633216759616825,13.032966016812686,15.928306301085499,
snr_imp_strict,SNR imp. (no gain corr.) [dB],↑,M_FE,22,11.154004636756332,5.255921597919845,10.41905277556518,6.467754937071611,15.261353997483132,
gain_bias,gain bias α*,→1,B01,22,0.962307711429245,0.030047902678436985,0.9655942790813608,0.9377874899057399,0.987218405160382,0.0001932101599539
gain_bias,gain bias α*,→1,B02,22,0.9997616155800609,0.004384023674517681,0.9999289974184833,0.9972822505106878,1.001132698511957,0.0001932101599539
gain_bias,gain bias α*,→1,M00,22,0.6318384175330665,0.094571720733163,0.6650485744819,0.6104605443744922,0.6960484584624649,0.0001932101599539
gain_bias,gain bias α*,→1,M01,22,0.906749202299245,0.03912395984423971,0.9084048966513709,0.8774502515707591,0.9329668356108436,0.0001932101599539
gain_bias,gain bias α*,→1,M02,22,0.947856470352433,0.03645583792381345,0.9431714948740734,0.9236299016572583,0.970349908536288,0.0001932101599539
gain_bias,gain bias α*,→1,M03,22,0.9489050517317612,0.04756995809698437,0.9509520077598512,0.9184082997148694,0.9735570900504043,0.0001932101599539
gain_bias,gain bias α*,→1,M04,22,0.8574080606284548,0.076611365824853,0.8783442170954867,0.8016076706498336,0.9027570792137085,0.0001932101599539
gain_bias,gain bias α*,→1,M04np,22,0.8574080606284548,0.076611365824853,0.8783442170954867,0.8016076706498336,0.9027570792137085,0.0001932101599539
gain_bias,gain bias α*,→1,M05,22,0.9800819940578119,0.04527065416130784,0.97469608262612,0.9446550825144573,1.0000872618997863,0.0001932101599539
gain_bias,gain bias α*,→1,M05f,22,0.9421731822876261,0.03439945643327982,0.9487933041930454,0.9261462722654306,0.9660287444165377,0.0001932101599539
gain_bias,gain bias α*,→1,M06,22,1.0099083435758582,0.021108281154541945,1.01039310052546,0.9985119231468305,1.015573311225962,0.0001932101599539
gain_bias,gain bias α*,→1,M07,22,1.0103815331384767,0.040889407338132955,0.999313225938461,0.9862665107787039,1.024826529821653,0.0001932101599539
gain_bias,gain bias α*,→1,M08,22,1.0126434745612445,0.03112806313200608,1.0033225558717183,0.9967528826776516,1.016652620970095,0.0001932101599539
gain_bias,gain bias α*,→1,M_FE,22,0.848003312253367,0.07932639403165946,0.8595367588496996,0.7976487403792205,0.8913115536588168,0.0001932101599539
prdn,PRDN [%],↓,B01,22,15.677880405030004,6.6313642386838,14.751171414046262,11.336402610556396,20.862399861777686,1.0082122067908028
prdn,PRDN [%],↓,B02,22,16.085994966163984,5.6722877210658975,17.3308762075848,12.678203973661804,20.19602579714119,1.0082122067908028
prdn,PRDN [%],↓,M00,22,87.02678424760713,21.42396817560961,79.77651079330016,72.77110161488753,89.95763118860327,1.0082122067908028
prdn,PRDN [%],↓,M01,22,27.391152883777035,8.097811322120577,27.598166675824643,22.241626569510636,33.02953630169378,1.0082122067908028
prdn,PRDN [%],↓,M02,22,27.320226736728884,6.869084387276555,27.699769699329725,21.349942320814325,33.273538378074676,1.0082122067908028
prdn,PRDN [%],↓,M03,22,29.770644825046972,7.903279433354335,29.846854181571164,26.32053565658505,33.46590572204033,1.0082122067908028
prdn,PRDN [%],↓,M04,22,36.562451100909584,17.109219273893046,31.75784416947471,26.2418391993345,49.03223877300335,1.0082122067908028
prdn,PRDN [%],↓,M04np,22,36.562451100909584,17.109219273893046,31.75784416947471,26.2418391993345,49.03223877300335,1.0082122067908028
prdn,PRDN [%],↓,M05,22,24.997153594650488,7.4780049525131105,24.878740098280392,19.47859600948904,32.10224771209107,1.0082122067908028
prdn,PRDN [%],↓,M05f,22,29.581377870753634,8.123108136021301,28.519962458757522,23.30830915711139,35.040897043181516,1.0082122067908028
prdn,PRDN [%],↓,M06,22,16.28248029112225,9.365282453064019,13.532113087677077,11.484070735034356,15.99923672853588,1.0082122067908028
prdn,PRDN [%],↓,M07,22,18.0186704441308,7.946785583889196,16.162220091827876,14.005231885896618,19.03316888115775,1.0082122067908028
prdn,PRDN [%],↓,M08,22,16.18862883749537,8.564973384259357,14.418138376623666,12.495129200582268,17.081453370548797,1.0082122067908028
prdn,PRDN [%],↓,M_FE,22,39.09042831068775,17.66701589387157,36.062927636223776,28.23323741237679,49.594738507442955,1.0082122067908028
r_amp_err_pct,R amplitude error [%],↓,B01,22,4.2867202551512085,3.7214785853803725,3.461865011016334,2.5721922007401936,4.280883153106193,0.2263342296359103
r_amp_err_pct,R amplitude error [%],↓,B02,22,8.175390676239026,4.542389919534716,8.036831279279491,5.399522724993417,10.753840804935448,0.2263342296359103
r_amp_err_pct,R amplitude error [%],↓,M00,22,58.52881799403664,61.12725205752542,32.67866064735045,19.091545696984923,68.97009817380271,0.2263342296359103
r_amp_err_pct,R amplitude error [%],↓,M01,22,5.737262559216786,3.1971521982769127,5.41711121996049,4.272420671507522,6.311216898412338,0.2263342296359103
r_amp_err_pct,R amplitude error [%],↓,M02,22,12.725283014562732,6.891166950101581,12.173669090015625,6.327607806537701,18.26689652517136,0.2263342296359103
r_amp_err_pct,R amplitude error [%],↓,M03,22,14.378840819552119,10.734795223861559,12.15049893776568,8.435249513526507,16.465634353215123,0.2263342296359103
r_amp_err_pct,R amplitude error [%],↓,M04,22,6.755919065446366,5.2478042154319695,5.9302612605347225,2.77150309232709,8.290149410885103,0.2263342296359103
r_amp_err_pct,R amplitude error [%],↓,M04np,22,6.755919065446366,5.2478042154319695,5.9302612605347225,2.77150309232709,8.290149410885103,0.2263342296359103
r_amp_err_pct,R amplitude error [%],↓,M05,22,10.513043419529632,7.749040240886178,7.956076934736764,5.974394659429766,11.55250875809919,0.2263342296359103
r_amp_err_pct,R amplitude error [%],↓,M05f,22,9.905095987558296,9.656882912829515,6.865358170712188,5.002389524109111,10.072034997523492,0.2263342296359103
r_amp_err_pct,R amplitude error [%],↓,M06,22,4.935257083632684,4.152959503745323,3.0906027192360748,2.614979042687844,4.8899898528328585,0.2263342296359103
r_amp_err_pct,R amplitude error [%],↓,M07,22,5.890868924437564,4.780183222782551,3.853357438987911,2.9750268304769674,6.223498860330579,0.2263342296359103
r_amp_err_pct,R amplitude error [%],↓,M08,22,4.804285958326046,4.367773762570187,3.094044477535837,2.5578312127429292,4.740555261369425,0.2263342296359103
r_amp_err_pct,R amplitude error [%],↓,M_FE,22,7.349457566979144,5.720153504301498,6.654098830921286,2.8893636805546836,9.490982333591957,0.2263342296359103
beat_cc,beat template CC,↑,B01,22,0.9986283013763319,0.0015055016744744004,0.9989338276648767,0.9984249154617593,0.9994245976688159,4.0477789028936506e-07
