snr_in,method,metric,n,mean,std,median,baseline_mean,delta_mean,stat,p,effect_r,p_holm
20.0,M04,snr_imp_scaled,22,7.487879151202213,2.9007388795337534,7.683536419828697,0.5989500832609943,6.888929067941217,0.0,4.76837158203125e-07,1.0,6.67572021484375e-06
20.0,B02,snr_imp_scaled,22,6.882230941031224,3.0469522557773265,6.347868648299,0.5989500832609943,6.283280857770229,0.0,4.76837158203125e-07,1.0,6.67572021484375e-06
20.0,M04np,snr_imp_scaled,22,6.674616638713161,3.068434780070623,6.866975383144547,0.5989500832609943,6.075666555452167,2.0,1.430511474609375e-06,0.9841897233201581,1.430511474609375e-05
20.0,M_FE,snr_imp_scaled,22,5.645148486569222,3.458407222365626,5.009845765903848,0.5989500832609943,5.046198403308227,32.0,0.0012617111206054688,0.7470355731225297,0.0075702667236328125
20.0,M08,snr_imp_scaled,22,5.56139103613105,4.241651702730276,6.316038934874867,0.5989500832609943,4.962440952870055,11.0,2.6226043701171875e-05,0.9130434782608695,0.00023603439331054688
20.0,M06,snr_imp_scaled,22,3.9994041683440837,4.337329392876289,4.608179550501425,0.5989500832609943,3.400454085083088,24.0,0.0003619194030761719,0.8102766798418972,0.002533435821533203
20.0,M03,snr_imp_scaled,22,3.362116576802603,3.435357689017383,3.2510991228127546,0.5989500832609943,2.7631664935416085,56.0,0.020858287811279297,0.5573122529644269,0.08343315124511719
20.0,M10,snr_imp_scaled,22,2.22290412084158,4.80750619986744,3.8019565116463774,0.5989500832609943,1.6239540375805854,71.0,0.0737757682800293,0.43873517786561267,0.19025802612304688
20.0,M07,snr_imp_scaled,22,2.0842079117443792,4.100207704856367,3.231741613856194,0.5989500832609943,1.4852578284833855,69.0,0.06341934204101562,0.45454545454545453,0.19025802612304688
20.0,M00,snr_imp_scaled,22,0.05168076561082307,0.008686739307795222,0.05005712138777252,0.5989500832609943,-0.5472693176501713,100.0,0.4060330390930176,-0.20948616600790515,0.4060330390930176
20.0,M05,snr_imp_scaled,22,-1.901537286598566,2.453404546028285,-1.897116760290798,0.5989500832609943,-2.50048736985956,48.0,0.009274482727050781,-0.6205533596837944,0.046372413635253906
