method,metric,n,mean,std,median,baseline_mean,delta_mean,stat,p,effect_r,p_holm
M00,ppv,22,0.9769136728843318,0.022486606255658917,0.9848869865678387,0.9770586790797767,-0.00014500619544492594,2.0,0.27332167829229814,-0.6,0.7978399383177743
M_FE,ppv,22,0.9767919955075322,0.022711742423955725,0.9848869865678387,0.9770586790797767,-0.0002666835722447464,0.0,0.10880943004054568,-1.0,0.4352377201621827
M05f,rpeak_mae_ms,22,9.327826971569326,6.175494183624768,8.694411472796938,8.695154721729812,0.6326722498395145,46.0,0.007443428039550781,0.6363636363636364,0.10420799255371094
M05,rpeak_mae_ms,22,8.81346708977025,5.851008930929851,8.245581908813492,8.695154721729812,0.11831236804043833,76.0,0.1054534912109375,0.39920948616600793,1.0
M03,rpeak_mae_ms,22,8.800271706512255,5.897800650639996,8.064355470726984,8.695154721729812,0.10511698478244308,36.0,0.0021948814392089844,0.7154150197628458,0.032923221588134766
M04,rpeak_mae_ms,22,8.732094749353955,5.908871305704581,7.963352561962351,8.695154721729812,0.03694002762414485,42.0,0.010628323936509337,0.6363636363636364,0.13816821117462139
M04np,rpeak_mae_ms,22,8.728788723234297,5.887723281555452,7.9438482813768765,8.695154721729812,0.03363400150448423,65.0,0.046160221099853516,0.48616600790513836,0.5539226531982422
M00,rpeak_mae_ms,22,8.693104315291658,5.8990917602706725,7.891831260537654,8.695154721729812,-0.0020504064381541287,14.0,1.0,0.0,1.0
M_FE,rpeak_mae_ms,22,8.69227868437418,5.898514704751967,7.881849731694233,8.695154721729812,-0.0028760373556322035,13.0,0.8657723749926214,-0.07142857142857142,1.0
M02,rpeak_mae_ms,22,8.689662749662425,5.876216574334442,7.880062968838749,8.695154721729812,-0.005491972067387632,126.0,1.0,0.003952569169960474,1.0
B02,rpeak_mae_ms,22,8.675143149373287,5.855646614928147,7.888852535374863,8.695154721729812,-0.020011572356524968,111.0,0.6327285766601562,-0.1225296442687747,1.0
B01,rpeak_mae_ms,22,8.618847090560388,5.848738574889546,7.896980905038072,8.695154721729812,-0.07630763116942493,82.0,0.15597057342529297,-0.35177865612648224,1.0
M07,rpeak_mae_ms,22,8.610802821720801,5.815438481303563,7.953394275515546,8.695154721729812,-0.08435190000901151,105.0,0.5028400421142578,-0.16996047430830039,1.0
M08,rpeak_mae_ms,22,8.605221305327364,5.84714945261892,7.889306221930573,8.695154721729812,-0.08993341640244627,82.0,0.15597057342529297,-0.35177865612648224,1.0
