rep,noise,true_snr,true_snr_eff,fe,estimator,est,err,lag1,artf,warn_corr
4,pli,5,5.0,False,snr_beat_residual_db,10.464417044219452,5.464417044219452,0.5776972178079554,0.0,1.0
4,pli,5,5.0,False,snr_hsc_db,10.814123082493106,5.814123082493106,0.5776972178079554,0.0,1.0
4,pli,5,5.0,False,snr_isoelectric_db,4.659879095485303,-0.3401209045146967,0.5776972178079554,0.0,1.0
4,pli,10,10.0,False,snr_beat_residual_db,9.80988676406702,-0.19011323593298002,0.6197945028244756,0.0,1.0
4,pli,10,10.0,False,snr_hsc_db,13.731563258018396,3.7315632580183955,0.6197945028244756,0.0,1.0
4,pli,10,10.0,False,snr_isoelectric_db,9.166815996398553,-0.8331840036014473,0.6197945028244756,0.0,1.0
4,pli,15,15.0,False,snr_beat_residual_db,11.325808283303513,-3.6741917166964875,0.5997518261022619,0.011695906432748537,1.0
4,pli,15,15.0,False,snr_hsc_db,12.786923049637371,-2.2130769503626286,0.5997518261022619,0.011695906432748537,1.0
4,pli,15,15.0,False,snr_isoelectric_db,12.902512631280993,-2.0974873687190065,0.5997518261022619,0.011695906432748537,1.0
4,pli,20,20.0,False,snr_beat_residual_db,13.425075824150552,-6.574924175849448,0.7124930834014438,0.029239766081871343,1.0
4,pli,20,20.0,False,snr_hsc_db,16.231923980556996,-3.7680760194430043,0.7124930834014438,0.029239766081871343,1.0
4,pli,20,20.0,False,snr_isoelectric_db,15.308592570174502,-4.691407429825498,0.7124930834014438,0.029239766081871343,1.0
4,bw,0,0.0,False,snr_beat_residual_db,8.637553803472102,8.637553803472102,0.7709479184945593,0.017543859649122806,1.0
4,bw,0,0.0,False,snr_hsc_db,18.49695685511719,18.49695685511719,0.7709479184945593,0.017543859649122806,1.0
4,bw,0,0.0,False,snr_isoelectric_db,20.358731370101456,20.358731370101456,0.7709479184945593,0.017543859649122806,1.0
4,bw,5,5.0,False,snr_beat_residual_db,11.158913837203047,6.1589138372030465,0.5689905624354152,0.03508771929824561,1.0
4,bw,5,5.0,False,snr_hsc_db,16.922904022262234,11.922904022262234,0.5689905624354152,0.03508771929824561,1.0
4,bw,5,5.0,False,snr_isoelectric_db,18.397232046813187,13.397232046813187,0.5689905624354152,0.03508771929824561,1.0
4,bw,10,10.0,False,snr_beat_residual_db,13.301412030192832,3.3014120301928322,0.7508594441565033,0.029239766081871343,1.0
4,bw,10,10.0,False,snr_hsc_db,18.54465715058215,8.54465715058215,0.7508594441565033,0.029239766081871343,1.0
4,bw,10,10.0,False,snr_isoelectric_db,17.482744367318194,7.482744367318194,0.7508594441565033,0.029239766081871343,1.0
4,bw,15,15.0,False,snr_beat_residual_db,14.214667656217228,-0.7853323437827715,0.8044491242245468,0.03508771929824561,1.0
4,bw,15,15.0,False,snr_hsc_db,17.99664092400227,2.9966409240022713,0.8044491242245468,0.03508771929824561,1.0
4,bw,15,15.0,False,snr_isoelectric_db,17.25280420890203,2.252804208902031,0.8044491242245468,0.03508771929824561,1.0
4,bw,20,20.0,False,snr_beat_residual_db,14.651986576607376,-5.348013423392624,0.801642918645126,0.04093567251461988,1.0
4,bw,20,20.0,False,snr_hsc_db,18.147463879736037,-1.852536120263963,0.801642918645126,0.04093567251461988,1.0
