axis,snr_db,record,seg,contrast_db,sign
D1 실데이터,20,100,0,-13.699,front-end 우세
D1 실데이터,20,100,1,-4.074,front-end 우세
D1 실데이터,20,103,0,-12.109,front-end 우세
D1 실데이터,20,103,1,-14.115,front-end 우세
D1 실데이터,20,105,0,5.123,딥러닝 우세
D1 실데이터,20,105,1,-28.971,front-end 우세
D1 실데이터,20,111,0,-11.378,front-end 우세
D1 실데이터,20,111,1,-0.789,front-end 우세
D1 실데이터,20,113,0,6.104,딥러닝 우세
D1 실데이터,20,113,1,-3.41,front-end 우세
D1 실데이터,20,117,0,2.094,딥러닝 우세
D1 실데이터,20,117,1,-2.285,front-end 우세
D1 실데이터,20,121,0,0.543,딥러닝 우세
D1 실데이터,20,121,1,-5.493,front-end 우세
D1 실데이터,20,123,0,-2.309,front-end 우세
D1 실데이터,20,123,1,-2.123,front-end 우세
D1 실데이터,20,200,0,-4.629,front-end 우세
D1 실데이터,20,200,1,-16.548,front-end 우세
D1 실데이터,20,202,0,-1.935,front-end 우세
D1 실데이터,20,202,1,-1.477,front-end 우세
D1 실데이터,20,210,0,3.922,딥러닝 우세
D1 실데이터,20,210,1,-18.359,front-end 우세
D1 실데이터,20,212,0,-3.135,front-end 우세
D1 실데이터,20,212,1,-12.496,front-end 우세
D1 실데이터,20,213,0,0.878,딥러닝 우세
D1 실데이터,20,213,1,4.759,딥러닝 우세
D1 실데이터,20,214,0,5.463,딥러닝 우세
D1 실데이터,20,214,1,5.256,딥러닝 우세
D1 실데이터,20,219,0,6.358,딥러닝 우세
D1 실데이터,20,219,1,4.636,딥러닝 우세
D1 실데이터,20,221,0,-0.533,front-end 우세
D1 실데이터,20,221,1,-0.096,front-end 우세
D1 실데이터,20,222,0,-10.28,front-end 우세
D1 실데이터,20,222,1,-31.915,front-end 우세
D1 실데이터,20,228,0,-26.796,front-end 우세
D1 실데이터,20,228,1,-5.546,front-end 우세
D1 실데이터,20,231,0,2.941,딥러닝 우세
D1 실데이터,20,231,1,-2.353,front-end 우세
D1 실데이터,20,232,0,-5.366,front-end 우세
D1 실데이터,20,232,1,-15.262,front-end 우세
D1 실데이터,20,233,0,2.934,딥러닝 우세
D1 실데이터,20,233,1,1.652,딥러닝 우세
D1 실데이터,20,234,0,5.146,딥러닝 우세
D1 실데이터,20,234,1,3.806,딥러닝 우세
